CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
14747123,135.21,2.5,0,1
14958372,161.24,3.0,0,1
15695999,199.29,3.5,0,0
15809078,185.26,3.0,0,0
18185591,133.19,2.3,0,1
18679079,178.23,0.6,1,3
19593488,163.26,3.4,0,1
20592754,135.21,2.4,0,1
21769024,164.25,1.3,2,0
22052675,288.13,1.9,0,2
22278971,202.3,2.1,0,2
22712836,186.25,1.5,0,2
22938084,176.26,1.0,0,2
23515097,158.2,1.2,0,1
45791096,136.19,0.5,1,2
53297514,192.32,4.2,0,0
53751583,149.23,2.9,0,1
54215370,196.67,1.9,0,2
54311236,171.24,2.6,0,0
54426122,175.23,0.8,1,2
55269663,147.22,2.9,0,1
58651656,288.13,1.9,0,2
66622259,150.22,1.1,0,2
67544201,252.35,3.1,0,2
69622324,185.26,2.9,0,0
70385126,172.23,1.8,0,2
75298080,231.12,2.8,0,2
86200634,199.29,3.2,0,0
86220929,185.26,3.0,0,0
88717940,164.2,1.6,1,3
91038559,177.29,4.1,0,1
91132696,192.24,0.9,0,3
101721182,171.24,2.7,0,0
129736460,194.3,1.9,0,2
135059066,189.3,4.4,0,1
137332165,206.33,2.7,0,2
3025719,192.28,3.0,0,3
3229432,190.28,1.9,0,2
47054623,270.34,3.3,0,3
56895117,231.34,1.0,0,3
84593545,206.33,2.6,0,2
91916513,259.39,1.9,0,3
95128085,266.4,3.9,0,2
97814230,216.32,2.5,0,2
129607869,258.28,2.9,0,5
164628102,232.36,3.5,1,2
164638602,239.32,2.3,0,3
164641180,261.41,2.5,0,3
164642730,241.31,0.2,1,5
11805598,194.25,1.5,0,3
14241039,218.29,1.5,0,2
92000,147.22,2.7,0,1
165319,192.3,1.4,0,0
185343,177.27,1.3,0,1
191399,206.24,1.1,0,3
3037040,192.3,1.4,0,0
6436622,147.22,2.7,0,1
6438049,147.22,2.6,0,1
10020951,273.4,4.1,0,1
10888489,178.23,0.7,0,2
12087452,177.2,1.1,0,4
15868965,199.27,2.0,0,0
16122816,191.27,0.2,1,3
16744273,191.27,0.2,1,3
18972366,221.25,3.2,0,2
