CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
68669471,365.8,4.3,2,4
68749621,465.8,4.1,2,8
68752204,400.2,5.0,2,4
68754045,383.8,4.4,2,5
68754761,429.9,3.9,2,6
69289245,489.9,4.9,2,7
69289246,489.9,4.8,2,7
70212437,399.8,2.8,2,7
70212480,490.6,3.9,2,8
70213713,459.4,3.9,2,8
70214350,399.8,2.8,2,7
70214408,408.5,3.1,3,7
70214927,390.4,1.9,2,8
70214953,376.4,1.9,3,7
70215268,372.4,1.8,2,7
70215936,379.4,2.6,2,7
70216001,449.9,3.4,2,7
70833847,490.5,3.8,3,9
70842387,491.9,4.6,2,8
71219014,498.8,4.5,3,10
71219066,451.5,4.6,2,6
76736182,461.5,1.9,3,9
87088851,439.7,3.7,2,10
87088887,467.8,3.9,2,10
87088928,453.8,3.6,2,10
87088960,453.8,3.6,2,10
87088976,403.4,3.0,2,7
87089078,467.8,3.9,2,10
88215283,445.9,4.3,2,6
88215785,445.9,4.3,2,6
88291071,455.9,3.7,2,8
88580332,432.4,3.2,2,8
88580333,418.4,2.9,2,8
88580347,444.5,3.4,2,8
88580383,426.5,3.2,2,7
88919718,460.5,4.2,3,8
88937186,480.8,3.8,2,9
88939523,497.5,3.2,4,9
88990527,474.9,3.6,3,8
90116324,442.9,3.0,2,8
90116629,458.9,2.4,3,9
90116638,460.9,3.1,2,9
90116709,440.9,2.3,3,8
90116732,476.9,3.9,2,8
90116754,469.9,2.2,2,9
90116779,435.9,1.9,2,8
90116900,453.9,2.0,2,9
90116968,483.9,2.6,2,9
90116989,454.9,2.2,3,8
90116990,440.9,2.1,2,8
90116999,468.9,3.8,2,8
90117009,472.9,2.3,3,9
90117037,494.9,4.0,2,9
90117071,469.9,2.1,3,9
90117169,450.9,3.7,2,7
90117220,451.9,2.0,3,8
90117222,458.9,2.2,2,9
90124665,469.5,4.8,2,7
90125229,468.5,2.6,3,9
90694362,471.9,5.0,2,7
90772699,448.5,3.0,2,8
90797465,459.5,3.0,3,9
90826165,442.4,2.8,3,8
90849724,447.5,2.2,4,9
90862132,477.9,2.6,3,8
90863141,455.5,3.3,3,9
90929997,475.5,2.6,3,9
91061487,495.5,2.8,3,9
91079278,478.5,4.0,3,9
91104186,475.5,2.5,3,9
91118319,473.5,3.0,3,9
91190923,443.5,2.0,3,8
91203249,475.5,2.5,3,9
91231382,458.5,4.1,2,9
91240668,447.5,1.6,3,9
91283413,335.73,3.8,2,5
