CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
10297990,456.5,3.2,2,8
10297991,456.5,3.3,2,8
10298052,457.5,3.4,2,8
10891814,297.28,3.2,1,6
11524799,430.9,4.9,1,7
11956269,447.3,4.4,1,7
11956270,447.3,4.4,1,7
25132293,426.5,3.9,1,8
25175982,341.4,4.1,1,6
42318126,426.5,3.5,1,8
42318128,426.5,3.5,1,8
45104652,376.18,3.9,1,6
45104654,390.2,4.3,1,6
62705328,461.3,4.5,2,7
67651749,450.3,3.5,0,7
69993919,477.3,4.2,2,8
71572793,466.5,4.8,1,8
71749411,491.4,4.3,2,8
72202743,414.4,4.4,1,8
72375631,386.2,4.7,1,5
73952980,475.4,4.9,1,7
93477484,475.4,4.7,2,7
99738037,491.4,4.4,1,7
118796896,361.21,4.0,1,4
132596089,476.3,3.3,2,8
132596090,476.3,3.3,2,8
132596091,476.3,3.3,2,8
133297364,416.4,4.0,1,9
133345895,398.4,4.0,1,8
142637804,423.4,3.4,1,9
142655294,391.4,4.9,1,6
143120831,478.3,4.7,2,8
144021350,441.5,3.9,1,7
145896956,399.4,3.2,1,9
154726607,421.3,3.6,2,7
157995254,434.5,4.9,2,7
158986476,329.3,3.7,1,7
158986478,337.3,4.3,1,6
159805352,329.3,3.7,1,7
160421278,474.5,4.4,1,10
160545775,311.31,3.6,1,6
160685625,311.31,3.6,1,6
160685626,329.3,3.7,1,7
160685627,329.3,3.7,1,7
160685629,390.2,4.3,1,6
160940228,339.4,4.5,1,6
163639810,382.4,4.1,1,7
163981341,329.3,3.7,1,7
163981342,329.3,3.7,1,7
164122007,368.4,3.7,1,7
164991941,454.5,4.6,1,8
164991942,467.6,4.8,1,8
171714276,397.4,4.2,1,7
172872111,397.4,4.2,1,7
9843365,390.2,3.7,2,6
9846551,449.5,3.6,2,6
9868349,449.5,3.9,2,6
9908886,399.4,3.0,1,8
9954649,435.5,3.1,2,6
10046722,403.3,3.5,2,6
10152192,490.3,3.4,1,8
10181143,431.3,2.8,3,7
10185067,457.3,3.6,1,7
10201097,402.2,3.7,1,6
10205418,470.4,3.7,1,7
10869643,279.29,3.1,1,5
10885247,475.3,2.6,3,8
11303794,388.5,4.2,1,6
11328207,443.3,4.3,2,6
11383370,378.5,3.8,2,6
11383714,390.2,4.0,1,6
11496019,446.3,3.7,1,7
12134609,466.3,3.3,1,8
13714117,487.3,3.1,2,7
15549984,487.3,4.2,1,8
16876237,339.3,3.1,1,7
18348742,404.3,4.4,2,6
18762740,416.3,4.8,1,5
18762758,487.3,4.2,1,8
18762778,487.3,4.2,1,8
18762828,453.1,4.8,1,5
18762886,402.3,4.5,1,5
18762901,388.2,3.8,1,6
18932845,400.3,4.6,0,5
18932853,400.3,4.6,0,5
19963119,388.3,4.5,1,5
19963176,394.5,3.4,1,7
20747411,392.5,3.2,1,7
20747416,386.2,4.8,1,5
20747417,321.4,4.5,1,5
20747418,473.4,4.2,3,7
20747420,446.3,3.7,1,7
21098400,386.2,4.7,1,5
21098404,307.3,4.0,1,5
22172651,439.1,4.7,1,5
22243791,380.4,2.4,1,7
22243799,302.37,1.9,1,6
22243855,491.6,3.1,3,7
22243856,465.6,4.6,2,6
22243862,488.6,4.8,2,6
22243875,451.6,4.1,2,6
22243908,302.37,1.9,1,6
22649211,316.4,2.6,1,6
22649280,449.5,3.5,2,6
22649316,448.6,3.8,2,6
22707356,465.5,3.8,1,7
22707556,472.3,3.3,1,6
22707596,486.4,3.7,1,6
22707625,437.5,2.9,1,7
22707630,451.5,3.5,1,7
22707651,488.4,3.9,1,6
24855400,429.3,3.5,1,6
24855401,429.3,3.5,1,6
25131938,487.4,4.5,1,7
44243317,458.4,3.8,1,7
44243407,476.4,3.9,1,8
53657200,429.3,4.2,2,6
53698827,473.3,3.8,1,8
53699472,489.4,4.4,1,8
53700479,473.3,3.8,1,8
53747197,473.3,3.8,1,8
53780398,475.3,4.0,1,8
53842896,487.3,4.1,1,8
53963196,459.3,3.4,2,8
53967172,489.4,4.4,1,8
54029918,489.4,4.4,1,8
54089976,373.4,4.9,1,6
54268403,459.3,3.4,2,8
54422424,402.2,3.7,1,6
57075130,486.4,2.7,1,6
57116258,487.3,4.8,1,8
57225156,429.3,4.2,2,6
57445234,387.4,4.0,1,7
57794537,295.34,3.7,1,5
57925034,411.5,3.5,1,8
57925044,482.4,4.0,1,7
58264294,456.4,4.9,2,6
58264301,447.3,4.9,2,6
58735276,394.5,3.4,1,7
58896678,399.4,4.5,1,7
59248787,427.6,4.6,1,7
59248792,464.3,4.5,2,7
