CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
78160905,467.3,3.0,2,7
78160906,466.3,2.7,3,7
78160907,468.3,3.7,2,7
78160952,467.3,3.0,2,7
78160953,486.3,4.5,2,8
78160954,466.3,2.7,3,7
78161002,468.3,4.0,2,7
78161003,486.3,3.8,2,8
78161004,466.3,2.7,3,7
78161005,486.3,4.0,2,8
78161058,486.3,4.5,2,8
78168555,463.3,4.0,1,6
78168567,462.3,3.7,2,6
78168568,477.4,4.3,1,6
78168569,491.4,4.7,1,6
78168570,479.3,3.1,1,7
78168571,493.4,3.5,1,7
78168582,492.4,3.2,2,7
78168583,476.4,4.1,2,6
78168584,490.4,4.4,2,6
78168585,478.3,2.8,2,7
78168586,492.4,3.2,2,7
78168598,477.4,2.6,3,7
78168599,491.4,2.9,3,7
78168600,476.4,3.9,2,6
78168601,490.4,4.5,2,6
78168615,476.4,4.1,2,6
78168616,490.4,4.4,2,6
78168618,491.4,2.8,3,7
78168631,492.4,3.1,2,7
78168633,492.4,3.1,2,7
78168635,477.4,4.2,1,6
78168641,491.4,4.8,1,6
78168643,477.4,4.3,1,6
78168644,491.4,4.7,1,6
78168651,493.4,3.4,1,7
78168653,490.4,4.6,1,6
78168655,477.4,4.4,1,6
78168662,476.4,4.0,2,6
78168664,490.4,4.4,1,6
86268565,489.4,3.2,2,7
86268566,461.3,2.5,2,7
86268775,450.3,3.8,2,6
86288094,422.3,2.8,2,6
86288153,422.3,2.8,2,6
89464518,478.4,4.6,1,6
89574079,453.3,4.1,1,7
89708462,465.3,3.7,1,7
89709399,450.3,3.8,2,6
89713261,346.8,3.4,2,5
89713262,346.8,3.5,2,5
89718928,434.3,3.9,2,6
89814854,468.3,3.8,2,7
89815592,466.3,2.7,3,7
89815857,436.3,3.3,2,6
89815962,450.3,3.7,2,6
89816052,466.3,2.7,3,7
89816086,436.3,3.3,2,6
89826490,490.4,4.6,1,6
89827540,465.3,4.3,1,6
89827547,486.3,4.0,2,8
89827556,367.2,3.6,2,5
89827558,470.3,3.8,2,7
89827560,437.8,2.6,2,8
89827562,488.3,4.0,2,8
89827563,452.3,3.7,2,6
89827568,486.3,4.0,2,8
89827572,479.3,3.4,1,7
89827577,468.3,3.8,2,7
89827579,466.3,2.7,3,7
90024273,391.2,4.0,2,5
90024275,391.2,4.0,2,5
90727660,439.3,3.6,2,6
90961480,464.4,4.2,1,6
90974235,496.4,3.1,3,7
91087823,489.4,4.0,1,7
91099796,492.4,3.7,1,6
91114767,479.3,2.4,3,7
91117710,411.3,3.0,2,6
91178159,453.3,4.1,1,7
91279152,439.3,3.6,2,6
91395545,453.3,4.0,2,7
91407310,449.3,4.5,1,5
91434477,481.3,4.1,1,7
91491997,467.3,4.3,1,7
91524323,480.4,3.9,1,6
91593342,439.3,3.8,2,7
91594174,494.3,3.4,2,8
91600217,441.3,2.4,3,7
117715243,482.3,4.0,1,6
117762304,435.3,4.1,1,5
117763954,491.9,3.9,2,9
117764445,435.3,4.0,1,5
117795961,462.3,4.7,1,6
117796022,448.3,4.3,1,6
117948839,461.4,4.4,2,6
117948843,461.4,4.7,2,6
118513959,476.4,4.0,1,6
118518403,490.4,4.3,2,6
118518405,462.3,3.6,2,6
118518408,490.4,4.3,2,6
118518447,490.4,4.3,2,6
118908279,429.9,3.4,2,6
118908281,429.9,3.4,2,6
122674756,429.9,3.4,2,6
123187145,434.3,3.9,2,6
123197888,465.4,3.8,2,5
123223081,494.3,2.4,2,8
123303504,429.9,3.4,2,6
123306636,422.3,2.8,2,6
123322795,433.9,3.2,2,7
123324509,465.3,4.3,1,6
123392413,466.3,2.7,3,7
123405642,468.3,2.0,4,8
123420118,468.3,1.6,4,8
123458350,467.3,3.6,1,7
123462356,452.3,2.6,2,6
123487006,469.3,1.9,3,8
123550022,461.4,4.7,2,6
123567630,448.3,3.8,2,6
123578999,422.3,2.8,2,6
123590458,480.4,2.9,3,7
123662774,499.3,2.4,4,9
123672315,466.3,3.3,2,7
123742449,474.3,4.0,2,8
123744108,482.4,4.2,2,7
123745175,488.3,4.0,2,8
123758792,451.3,2.3,3,7
123786936,417.8,3.3,2,7
123787189,450.3,3.6,2,6
123788561,468.3,2.8,3,7
123807080,449.3,2.4,2,6
123823617,463.4,3.8,2,6
123826325,468.3,3.7,2,7
123832269,452.3,3.7,2,6
123852581,469.3,2.3,3,8
123945639,470.3,3.8,2,7
123957350,494.3,2.3,2,8
123989826,437.8,2.6,2,8
123999297,498.3,1.6,4,9
124011496,486.3,4.0,2,8
124032314,468.3,2.0,4,8
126570218,381.4,2.9,2,6
126570219,381.4,2.5,2,6
126710527,482.4,4.6,2,7
126710571,478.3,3.6,1,6
126710572,492.4,3.6,1,6
126739602,465.3,3.4,2,7
132234236,494.3,3.7,2,7
132269634,464.4,4.2,1,6
138467269,465.3,3.4,2,7
141245249,479.3,4.3,1,7
141337598,468.3,3.8,2,7
141337602,466.3,2.7,3,7
141337616,468.3,3.7,2,7
141338297,462.3,3.7,2,6
141425702,416.9,3.1,2,7
141523294,468.3,2.7,3,7
141523297,496.4,3.4,3,7
